title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Muzzy Chinese Level I",2,1,14,44,495.18342,14
Biodiversity,2,1,14,54,574.5,3
"Dan Zanes and friends The fine friends are here",2,1,14,54,782.42083,6
Forests,2,1,14,54,577.3,3
"Rock n learn Life science",2,1,14,54,570,6
Volcanoes,2,1,14,54,551.21,3
Electricity,2,1,14,54,537,3
Fire,2,1,14,54,353.979,3
"ultimate collection",2,1,15,20,629.04,3
"Swan Lake story a dance fantasy",2,1,15,44,792.842,10
"Sid the science kid Gizmos and gadgets",2,1,16,0,621.8,0
"Sid the science kid Sid in motion",2,1,16,6,500,0
"Mandarin Chinese 3 Playtime",2,1,16,8,495.13421,13
"Mister Maker I have an idea",2,1,16,8,745.5,13
Electricity,2,1,16,13,537,6
"Gustafer Yellowgolds Have you never been yellow",2,1,16,23,782.42083,5
"Activity TV Cartooning intermediate",2,1,16,34,741.5,8
"Peep and the big wide world Peep floats",2,1,16,34,372.35,8
Flight,2,1,16,34,629.13,8
"Fizzys lunch lab Fresh foods 101",2,1,16,34,613.2,8
Deserts,2,1,16,34,577.54,8
"All about the brain",2,1,16,34,612.82,8
"Drawing power Vol 7 Undersea animal drawing",2,1,16,34,743.6,15
Geography,2,1,16,35,910,8
"Amazing North America",2,1,16,37,591.97,13
"Storytellers favorite fables",2,1,16,52,398.24,17
"Pizza party Yoga class for kids",2,1,16,58,613.7046,12
"Activity TV Cartooning intermediate",2,1,16,59,741.5,20
"Cartooning tips and tricks",2,1,16,59,741.5,20
"Baby signing time Volume 1",2,1,17,3,419,14
"Signing time Volume 1 My first signs",2,1,17,3,419.7,14
"Preschool fun Letters numbers",2,1,17,4,201,12
"All about motion balance",2,1,17,5,531.11,29
"Drawing power Vol 1 Ultimate drawing tool kit",2,1,17,5,741.2,20
"Yosemite 4 kids",2,1,17,31,917.94,2
"All about natural resources",2,1,17,35,553,27
"Bad baby Amy a story from Australia",2,1,17,44,398.20994,13
"Lyric language Spanish",2,1,18,8,468.3421,9
"Rock n learn Division rap",2,2,10,1,513.214,4
"Wiggles Big big show",2,2,10,23,782.42083,6
"George Washington first President",2,2,10,29,973.41092,13
"myth of Persephone",2,2,10,29,398.20938,13
"What makes a fish a fish",2,2,10,30,597,13
"Kid guides Zoos",2,2,10,30,590.7373,13
Seashore,2,2,10,30,578.7699,13
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",2,2,10,50,438.3421,8
"German for babies toddlers and preschoolers Disc 2 Wake up smiling",2,2,10,50,438.3421,8
"German for babies toddlers and preschoolers Disc 6 I can count",2,2,10,50,438.3421,8
"German for babies toddlers and preschoolers Disc 4 In my home",2,2,10,50,438.3421,8
"German for babies toddlers and preschoolers Disc 1 Eating and drinking",2,2,10,50,438.3421,8
"German for babies toddlers and preschoolers Disc 3 Playtime",2,2,10,50,438.3421,8
"Im a potty pirate potty training for boys",2,2,11,14,649.62,1
Cat,2,2,11,42,599.75,12
Gravity,2,2,11,42,531.14,12
"Merlin and the dragons a story from Wales",2,2,11,45,398.20942,20
"Sid the science kid Going going green",2,2,11,48,791.4575,12
"Baby signing time Volume 3 A new day",2,2,11,50,419,12
"Signing time Series 2 volume 10 Helping out around the house",2,2,11,50,419.7,12
"Preschool fun Letters numbers",2,2,11,53,201,12
"Families of Sweden",2,2,12,14,948.5,1
"Lyric language French",2,2,12,24,448.3421,30
"Blast off a kids introduction to the space program",2,2,12,26,629.40973,10
"All about trucks",2,2,12,26,629.224,10
"French Disc 4 In my home",2,2,12,35,448.3421,22
"science of Disney imagineering Electricity",2,2,12,37,537,26
"Ready for beginning math",2,2,12,37,372.7049,13
"What do you do with a tail like this",2,2,12,55,573.87,13
"Kung fu for kids",2,2,12,55,796.8159,20
"frog prince",2,2,13,3,398.2,6
"Activity TV Origami",2,2,13,5,736.982,6
Bali,2,2,13,6,915.986,8
"Activity TV Cartooning expert",2,2,13,10,741.5,6
"Popular mechanics for kids Lightning and other forces of nature",2,2,13,19,551.5632,7
"Peep and the big wide world Peeps new friends",2,2,13,20,372.35,6
"Baby signing time Volume 3 A new day",2,2,13,21,419,13
"Baby signing time Volume 2",2,2,13,21,419,13
"Baby signing time Volume 1",2,2,13,22,419,13
"Math is everywhere",2,2,13,22,511.322,12
"Budding ballerinas pre ballet with Mary Carpenter",2,2,13,26,792.8,12
India,2,2,13,26,305.8914,12
"Super soccer skills",2,2,13,31,796.3342,31
"This fragile planet preserving nature and balancing the environment",2,2,13,34,304.2083,12
"Families of China",2,2,13,41,951,14
"best of Mighty machines flying racing rolling",2,2,13,47,629.225,1
"Mighty machines Mega machines",2,2,13,47,629.225,3
"March on the day my brother Martin changed the world and more stories about African American history",2,2,14,7,973.0496,12
"Schoolhouse rock Grammar",2,2,14,16,428,14
"Families of Panama",2,2,14,22,972.87,5
"Families of Canada",2,2,14,22,971.07,5
"Families of Vietnam",2,2,14,22,959.7,5
"Fractions concepts and operations",2,2,14,23,513.26,7
Seashore,2,2,14,34,578.7699,5
"Lots lots of trains Vol 2 Thunder on the tracks",2,2,14,37,625.2,2
"Dirt monsters",2,2,14,40,681.76,9
"Rip roaring roller coasters and all access to fun",2,2,14,42,791.068,13
"Lots lots of trucks Vol 2 Mighty tough trucks",2,2,14,42,629.224,13
"Here come the ABCs",2,2,14,46,782.42083,13
"King March",2,2,14,52,398.20942,15
"Revolution and the new nation expansion and reform the first eleven presidents",2,2,14,57,973.099,10
"Sid the science kid Sids sing along",2,2,14,58,782.42083,13
"Smart start for kids ABCs",2,2,15,10,428.1,2
"Growing up wild Fun family frolics",2,2,15,22,599.139,14
"Young Filmmakers Club Digital video editing",2,2,15,23,778.593,28
"What makes a fish a fish",2,2,15,25,597,14
"Arctic tale",2,2,15,26,599.786,14
Reptile,2,2,15,26,597.957,14
Fish,2,2,15,27,597,7
"Meet the colors",2,2,15,28,535.6,13
"Amazing North America",2,2,15,29,591.97,7
"frog prince",2,2,15,30,398.2,12
"science of Disney imagineering Friction",2,2,15,34,531.1134,7
"Baby Einstein My first signs see and sign with baby",2,2,15,36,419,10
"Chased by dinosaurs",2,2,15,41,567,6
"Families of Israel",2,2,15,50,956.54,13
"Signing time Series 2 volume 10 Helping out around the house",2,2,15,51,419.7,24
"Barack Obama the story of our 44th president",2,2,15,52,973.93209,13
"Wiggles Its always Christmas with you",2,2,15,53,782.42083,11
Seashore,2,2,15,59,578.7699,15
"Advancing the skills",2,2,16,1,796.3342,14
"way things work Ballooning",2,2,16,4,629.13322,23
"John Deere earth mover action",2,2,16,8,629.225,14
"Baby dance",2,2,16,8,796.13,14
"Mandarin Chinese 1 Eating and drinking",2,2,16,9,495.13421,24
"Mandarin Chinese 3 Playtime",2,2,16,9,495.13421,24
"Spanish 1 Eating and drinking",2,2,16,13,468.3421,27
"Math cure",2,2,16,16,510,12
"Japanese Disc 2 Wake up smiling",2,2,16,21,495.68342,24
China,2,2,16,27,951,7
"Im a potty pirate potty training for boys",2,2,16,37,649.62,7
"science of Disney imagineering Fluids",2,2,16,38,532,7
"Mighty machines Machines on the job",2,2,16,39,621.8,7
"Hula for children learn basic hula steps 3 hula songs",2,2,16,52,793.31996,14
"Prehistoric life",2,2,16,53,576.8,24
Caves,2,2,17,13,551.447,25
"Electric guitar for kids 1 Getting started",2,2,17,19,787.87193,3
"Shalom Sesame Volume 4 Grover plants a tree",2,2,17,25,296.43,13
"Families of Mexico",2,2,17,30,972.0836,10
"Drawing power Vol 1 Ultimate drawing tool kit",2,2,17,30,741.2,6
"Hear my world",2,2,17,35,612.85,16
"Schoolhouse rock America",2,2,17,37,973,20
"School house rock Money rock",2,2,17,38,332.024,20
"Schoolhouse rock Multiplication rock",2,2,17,38,513.213,20
"Schoolhouse rock Grammar",2,2,17,38,428,20
"English ESL 4 In my home",2,2,17,38,428.3461,25
"Schoolhouse rock",2,2,17,38,372,20
"School house rock Election collection",2,2,17,39,320.973,20
"Schoolhouse rock Science",2,2,17,40,500,20
"Signing time Volume 3 Everyday signs",2,2,17,40,419.7,25
"I spy A thing that flings and other stories",2,2,17,40,793.735,25
"David Goliath",2,3,10,58,222.4092,5
"Baby sign language basics",2,3,13,11,419,13
"French Disc 4 In my home",2,3,13,30,448.3421,21
"French 2 Wake up smiling",2,3,13,30,448.3421,21
"Muzzy level II Italian",2,3,13,34,458.3421,14
"world of learning Volume 2",2,3,13,58,629.13334,15
"Preschool fun Planets dinosaurs",2,3,14,0,523.4,11
"Meet the phonics Letter sounds",2,3,14,9,372.465,29
"Endangered extinct animals",2,3,14,13,333.9522,8
"Learn to Hip Hop Vol 1 2",2,3,14,15,793.3,5
"iKnow animals letters sounds Vol 1",2,3,14,28,372.465,8
"Schoolhouse rock America",2,3,14,32,973,4
"Schoolhouse rock Multiplication rock",2,3,14,34,513.213,17
"Human machine Bodyzone",2,3,14,36,612,3
"School house rock Election collection",2,3,14,40,320.973,17
"Gymnastics for children",2,3,14,46,796.44,14
"Mighty machines Tremendous tools",2,3,14,51,621.8,11
"Mighty machines Ships ahoy Super machines Ohâ du bateau",2,3,14,55,623.82,11
"Rock n learn Human body",2,3,14,58,612,15
"Wiggles Here comes the big red car",2,3,14,58,782.42083,10
"Baby Einstein My first signs see and sign with baby",2,3,15,2,419,7
"Baby signing time Volume 2",2,3,15,3,419,7
"Elmos potty time",2,3,15,10,649.62083,18
"School house rock Money rock",2,3,15,12,332.024,17
"School house rock Earth",2,3,15,12,333.72,17
"Mandarin Chinese Disc 4 In my home",2,3,15,44,495.13421,14
"Baby ballet",2,3,15,53,792.8,10
"Lets talk geography maps and globes",2,3,16,8,912,13
"Families of Kenya",2,3,16,11,967.62,11
"Families of Guatemala",2,3,16,11,972.81,11
"Families of Panama",2,3,16,11,972.87,11
"Families of Philippines",2,3,16,11,959.9,7
"Families of Mexico",2,3,16,11,972.0836,11
"Popular mechanics for kids Radical rockets and other cool cruising machines",2,3,16,21,500,8
"Swan lake",2,3,16,23,792.842,13
"Alice in Wonderland a dance fantasy",2,3,16,25,792.8,13
Nutcracker,2,3,16,27,792.842,13
"science of Disney imagineering Newtons 3 laws of motion",2,3,16,31,531,12
"Families of Thailand",2,3,16,39,959.3,7
"little primaballerina ballet training for children",2,3,16,41,792.8,10
"You can read Phonics video tutor Level 1 a reading enhancement program",2,3,16,42,372.465,6
"Letters and words",2,3,16,42,372.465,10
"Soundable words Long and short vowels",2,3,16,42,372.465,10
"Phonics 4 babies Babys first words",2,3,16,42,649.68,10
"Phonics 4 babies Colors counting",2,3,16,42,649.68,10
"Alphabet phonics fun",2,3,16,42,411,10
"alphabet zoo a fun way to learn letters and phonics",2,3,16,42,411,6
"Beyond phonics Level 1",2,3,16,42,372.4,10
"Rock n learn Phonics Volumes I II",2,3,16,42,372.465,6
"I spy A mumble monster mystery other stories",2,4,11,51,793.735,7
"Wild about safety Safety smart in the water",2,4,12,11,797.0289,12
"Wild about safety Safety smart goes green",2,4,12,11,363.7,12
"Fairy dancing",2,4,12,17,791.4372,12
"Meet the sight words 1",2,4,12,39,372.462,20
"Meet the sight words 2",2,4,12,39,372.462,20
"VeggieTales sing alongs I love my lips",2,4,12,58,782.42083,12
"Baby dance",2,4,13,32,796.13,32
"Ca nhac XuÆn Mai 10",2,4,13,33,782.42083,12
"Early settlers",2,4,13,49,973,5
"Aladdin and the magic lamp",2,4,13,53,398.22,7
"Martins big words the life of Dr Martin Luther King Jr and more stories from the African American tradition",2,4,13,54,323.092,12
"Meet the sight words 2",2,4,14,30,372.462,12
"Signing time Series 2 volume 12 Box of crayons",2,4,14,37,419.7,7
"Signing time Series 2 volume 6 Days of the week",2,4,14,37,419.7,13
"Martin Luther King Jr Day",2,4,14,55,394.269,18
"Schoolhouse rock Science",2,4,14,56,500,9
"Schoolhouse rock Grammar",2,4,14,56,428,9
"Wiggles Ukulele baby",2,4,15,15,791.42083,27
"Schoolhouse rock Science",2,4,15,28,500,8
Electricity,2,4,15,32,537,12
"Fairy dancing",2,4,15,33,791.4372,12
Deserts,2,4,15,37,577.54,12
"Ocean life",2,4,15,37,577.7,12
"Storyland yoga",2,4,15,45,613.7046,19
"YogaKids 2 more poses more fun",2,4,15,46,613.7046,19
"Pizza party Yoga class for kids",2,4,15,46,613.7046,19
"Shanti Generation yoga skills for youth peacemakers",2,4,15,46,613.7046,19
"Japanese Disc 1 Eating and drinking",2,4,15,56,495.68342,18
"Rock n learn Getting ready for kindergarten",2,4,15,56,372.218,6
"Japanese Disc 3 Playtime",2,4,15,58,495.68342,18
"Vamos a jugar Lets play",2,4,16,6,468.3421,12
"First fun with Spanish",2,4,16,6,468.3421,12
"Hola amigos Volume 2",2,4,16,6,468.3421,12
"Professor Parrot speaks Spanish We are friends Somos amigos",2,4,16,6,468.2421,12
"Activity TV Origami",2,4,16,15,736.982,13
"magic school bus Creepy crawly fun",2,4,16,15,534,13
"magic school bus Super sports fun",2,4,16,15,530,13
"Activity TV Cartooning intermediate",2,4,16,20,741.5,13
"Kids Ten Commandments the complete collection",2,4,16,47,241.52,12
"Signing time Volume 1 My first signs",2,4,16,48,419.7,11
"More families of Mexico",2,4,16,50,972.0836,12
"scoop on poop",2,4,16,56,612.36,12
"Math cure",2,4,16,59,510,12
"Renewable energy",2,4,17,7,621.042,12
"Lots lots of fire songs safety tips",2,4,17,8,363.377,16
"British Isles",2,4,17,9,914.1,4
"Globe toddlers Adventures in France",2,4,17,15,448.2421,4
"Sid the science kid Weather kid Sid",2,4,17,19,551.5,12
"Fun in motion dance laugh learn about trucks cars trains planes boats",2,4,17,23,629.22,22
"Ferry boats",2,4,17,23,386.2234,22
"I spy A thing that flings and other stories",2,4,17,28,793.735,16
"Awesome animal builders",2,4,17,36,591.564,15
"Meet the shapes",2,4,17,39,516.15,7
"animated Passion for the whole family",2,4,17,40,232.96,7
"Origami fun for kids",2,4,17,52,736.982,9
Japan,2,4,17,56,915.2,7
"Kung fu for kids",2,4,17,58,796.8159,7
"School house rock Money rock",2,4,18,13,332.024,7
"Facing fear without freaking out",2,4,18,13,155.41246,31
"School house rock Election collection",2,4,18,14,320.973,7
"Drumming for kids making the basics fun easy",2,4,18,14,786.9193,28
"School house rock Earth",2,4,18,14,333.72,7
"Schoolhouse rock Science",2,4,18,18,500,13
"Im a potty pirate potty training for boys",2,4,18,24,649.62,9
"Activity TV Halloween Vol 2",2,4,18,51,745.59416,11
"Meerkat manor Season one",2,4,18,52,599.742,6
"All your childs favorites",2,4,18,57,649.68,12
"Mighty machines Machines on the job",2,4,19,14,621.8,4
"Buster loves music",2,4,19,17,780,19
"Soundable words Long and short vowels",2,4,19,17,372.465,19
"Rock n learn Phonics Volumes I II",2,4,19,17,372.465,19
"Sid the science kid Feeling good inside and out",2,4,19,36,613.0432,21
"We are The Laurie Berkner Band",2,4,19,37,782.42083,11
"All about John Deere for kids Part 4",2,4,19,37,629.225,11
Migration,2,5,10,6,591.568,7
"Sid the science kid Feeling good inside and out",2,5,10,7,613.0432,22
"Lots lots of jets and planes Vol 2 Adventures in the air",2,5,10,23,629.13334,24
"All about cars All about motorcycles",2,5,10,23,629.222,24
"Yay Planes",2,5,10,24,629.1333,7
Migration,2,5,10,25,591.568,11
"Wild about safety Timon and Pumbaa Safety smart online",2,5,10,40,004.67808,4
"Fun with counting",2,5,10,42,513.21,20
"Meet the letters",2,5,10,42,428.13,20
"Ready for phonics Level 2",2,5,10,42,372.465,20
Nutcracker,2,5,10,45,792.842,4
"Renewable energy",2,5,10,54,621.042,16
"Spanish 2 Wake up smiling",2,5,10,55,468.3421,4
"How Tortoise won respect a story from South Africa",2,5,10,55,398.20968,4
"Sid the science kid Feeling good inside and out",2,5,12,38,613.0432,29
"Deep sea dive",2,5,12,41,551.46,21
"Dancing for kids",2,5,12,50,792.80833,10
"Baby dance",2,5,12,50,796.13,5
Skeleton,2,5,12,53,573.76,13
Migration,2,5,12,53,591.568,13
Predators,2,5,12,56,591.53,13
"Perros gatos y ratones",2,5,12,57,782.42083,5
"Introduction to robotics",2,5,13,15,629.892,16
"Families of Ghana",2,5,13,37,966.7,10
"way things work Belts gears",2,5,13,40,621.833,14
"world of learning Volume 1",2,5,13,40,629.2222,14
"Meet the phonics Digraphs",2,5,13,41,372.465,11
"YogaKids 2 ABCs",2,5,13,42,613.7046,18
YogaKids,2,5,13,42,613.7042,18
"YogaFit kids a YogaFit workout",2,5,13,42,613.7046,18
"Pizza party Yoga class for kids",2,5,13,42,613.7046,18
"Jazz dances for kids teens",2,5,13,50,793.3,25
"Learn ballet step by step",2,5,13,50,792.82,25
YogaKids,2,5,13,50,613.7042,25
"Hip hop for kids School house hop",2,5,13,50,793.3,25
"Kideosyncrasy getting the world in shape one kid at a time Volume 2",2,5,13,50,613.7042,25
"Kick to get fit Jr for kids",2,5,13,50,613.71,25
"Learn hip hop step by step",2,5,13,50,782.42164,25
"Once upon a potty for him",2,5,13,55,649.62,13
"Russian for babies toddlers and preschoolers Disc 2 Wake up smiling",2,5,14,20,491.78346,25
"What do you do with a tail like this",2,5,14,20,573.87,9
"Why do giraffes have long necks and other cool animal facts",2,5,14,20,599,9
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",2,5,14,21,491.78346,25
"Giving thanks and more stories to celebrate American heritage",2,5,14,23,973,7
"Budding ballerinas pre ballet with Mary Carpenter",2,5,14,34,792.8,26
"Silly songs sing a long",2,5,14,35,782.42083,26
"Lots lots of big trains Vol 1 Giant railroad action",2,5,14,47,625.2,28
"Deep sea dive",2,5,15,0,551.46,7
"Meet the sight words 3",2,5,15,4,372.462,21
Seashore,2,5,15,19,578.7699,10
Flight,2,5,15,20,629.1301,10
"Between the lions Animal stories 8 stories fun activities",2,5,15,25,372.465,8
"Muzzy German",2,5,15,26,438.3421,14
"Mighty machines Big wheels rollin",2,5,15,31,629.225,12
"Mighty machines Roadways to runways",2,5,15,31,629.133,12
"All about trains for kids",2,5,15,31,625.1,12
"Meet the sight words 2",2,5,15,31,372.462,12
"Mighty machines Roadways to runways",2,5,15,39,629.133,8
"Mighty machines Machines on the job",2,5,15,39,621.8,21
"Dance learn Chinese with Mei Mei",2,5,15,44,495.18342,13
"Lots lots of jets and planes Vol 3 Jumbo jets in action",2,5,15,45,629.13334,9
"Do re mi in the key of C",2,5,15,45,781.2,13
"first Christmas",2,5,15,48,232.9,13
Horse,2,5,15,48,636.1,12
"Chinese for kids Beginner level 1 volume 2",2,5,15,48,495.18342,12
"Washington DC for kids",2,5,15,48,917.53,13
"Sid the science kid Sids sense ational adventures",2,5,15,48,500,12
"French Disc 4 In my home",2,5,15,50,448.3421,24
"School house rock Election collection",2,5,15,51,320.973,10
"All your childs favorites",2,5,15,52,649.68,9
"Meet the letters",2,5,15,52,428.13,13
"Activity TV Halloween Vol 3",2,5,15,52,745.59416,13
"Hola amigos Volume 1",2,5,15,53,468.3421,13
"magic school bus Creepy crawly fun",2,5,15,57,534,12
"magic school bus Super sports fun",2,5,15,58,530,12
"Mandarin Chinese Disc 4 In my home",2,5,16,2,495.13421,13
"Kool Kids sing a long",2,5,16,2,782.42083,13
"Mandarin Chinese Disc 5 Happy sad and silly",2,5,16,12,495.13421,13
"Mandarin Chinese 3 Playtime",2,5,16,21,495.13421,13
"frog prince",2,5,16,22,398.2,28
"Dino world",2,5,16,34,567.9,12
"Im a potty pirate potty training for boys",2,5,16,41,649.62,13
"Dancing for kids",2,5,16,44,792.80833,13
"Timoon and the Narwhal a story from Canada",2,5,16,49,398.20971,11
"Dancing for kids",2,5,16,54,792.80833,6
"Hot potatoes the best of the Wiggles",2,5,16,58,782.42083,6
"Civil War and Reconstruction development of the industrial U S the 12th 25th presidents",2,5,17,53,973.099,14
Energy,2,5,18,34,531.6,7
"All about the water cycle",2,5,18,36,551.48,4
Archaeology,2,5,18,37,930.1,6
"Schoolhouse rock Grammar",2,5,18,37,428,11
"Meet the phonics Blends",2,5,18,37,372.465,12
"magic school bus Creepy crawly fun",2,5,18,38,534,12
"Lots lots of trucks Vol 1 Hard workin trucks",2,5,18,39,629.224,12
"Meet the numbers",2,5,18,40,372.72,7
"iKnow animals letters sounds Vol 1",2,5,18,40,372.465,7
"Reading for children Identifying letters sounds",2,5,18,40,372.465,7
"Baby gourmet The first course",2,5,18,40,613.20832,7
Caves,2,5,18,41,551.447,7
Atmosphere,2,5,18,55,551.5,7
"Earths seasons",2,5,18,55,508.2,7
"Lakes ponds",2,5,18,55,551.482,7
Plants,2,5,18,55,580,7
Earthquakes,2,5,18,56,551.22,7
"Rivers streams",2,5,18,56,551.483,7
"science of Disney imagineering Magnetism",2,5,19,0,531.55,18
"Merlin and the dragons a story from Wales",2,5,19,9,398.20942,18
Atmosphere,2,5,19,17,551.5,13
"All about Earths history",2,5,19,17,551.7,13
Dog,2,5,19,28,599.77,7
"Eyewitness Volcano",2,5,19,41,551.21,14
Volcanoes,2,5,19,41,551.21,14
"Lots lots of jets and planes Vol 3 Jumbo jets in action",2,5,19,45,629.13334,20
"Ready for beginning math",2,6,10,37,372.7049,13
"Shalom Sesame Volume 9 Countdown to Shavuot",2,6,10,37,394.267,13
"Polar prowl",2,6,11,23,591.70911,14
"Spanish 2 Wake up smiling",2,6,11,46,468.3421,16
"Im a potty pirate potty training for boys",2,6,12,6,649.62,14
"Classical baby Im grown up now The poetry show",2,6,12,9,808.81008,12
"Human machine",2,6,12,9,612,12
"African American",2,6,12,9,305.89607,12
"Letter combinations reading",2,6,12,9,372.4,12
"Signing time Series 2 volume 1 Nice to meet you",2,6,12,15,419.7,23
"Signing time Series 2 volume 4 My favorite season",2,6,12,15,419.7,30
"Signing time Volume 13 Welcome to school",2,6,12,15,419.7,30
"Get fit kids vol 1 Hustle bustle move your muscles",2,6,12,25,613.7042,13
"Mandarin Chinese 1 Eating and drinking",2,6,12,40,495.13421,16
"Mandarin Chinese Disc 4 In my home",2,6,12,40,495.13421,14
"Mandarin Chinese 2 Wake up smiling",2,6,12,40,495.13421,16
"Mandarin Chinese Disc 5 Happy sad and silly",2,6,12,40,495.13421,9
"Mandarin Chinese 3 Playtime",2,6,12,40,495.13421,16
"Chinese for kids Beginner level 1 volume 2",2,6,12,40,495.18342,14
"Mandarin Chinese Disc 6 I can count",2,6,12,40,495.13421,14
"Families of France",2,6,12,47,944.084,16
"Families of Vietnam",2,6,12,50,959.7,16
"French Disc 5 Happy sad and silly",2,6,12,57,448.3421,13
"Be a hula girl",2,6,12,57,793.31,13
"Sing yourself silly",2,6,13,8,782.42083,11
"Puppy plays the classics",2,6,13,31,781.68,11
"Families of Ghana",2,6,13,40,966.7,8
"Families of Kenya",2,6,13,40,967.62,8
"More families of Mexico",2,6,13,40,972.0836,8
"Shalom Sesame Volume 5 Mitzvah on the street",2,6,13,58,296.4424,28
"Shalom Sesame Volume 4 Grover plants a tree",2,6,13,59,296.43,28
"Shalom sesame Volume 8 Grover learns Hebrew",2,6,14,1,492.48342,28
"Rock n learn Addition subtraction rap",2,6,14,1,513.21,13
"Families of China",2,6,14,12,951,14
"Kids love Spanish Volume 1 Basic words",2,6,14,12,468.3421,13
"Families of Ghana",2,6,14,13,966.7,9
"Kidz bop Dance moves",2,6,14,24,793.3,7
"Rock n learn Telling time",2,6,14,27,681.113,16
"Meet the phonics Digraphs",2,6,14,27,372.465,16
Geometry,2,6,14,28,516,16
"Meet the sight words 1",2,6,14,32,372.462,16
"Preschool fun Letters numbers",2,6,14,33,201,13
"All around the kitchen crazy videos concert songs",2,6,14,39,782.42083,27
"English ESL 5 Happy sad and silly",2,6,15,8,428.3461,21
"Mandarin Chinese 2 Wake up smiling",2,6,15,8,495.13421,21
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",2,6,15,8,492.7071,21
"Blast off a kids introduction to the space program",2,6,15,25,629.40973,12
"Adventures with dance",2,6,15,26,792.8,25
"Garbage monsters",2,6,15,27,628.445,10
"best of Mighty machines flying racing rolling",2,6,15,29,629.225,10
"Mighty machines Lights ladders",2,6,15,29,629.224,10
"Johnny Appleseed",2,6,15,32,398.22,15
"Signing time Volume 4 Family feelings and fun",2,6,15,32,419.7,13
"Puppytown Growing up",2,6,16,2,636.73,9
"I love toy trains Parts 1 2 3",2,6,16,2,625.19,9
"Human machine",2,6,16,8,612,9
"Sid the science kid Weather kid Sid",2,6,16,15,551.5,21
"Sid the science kid Sid in motion",2,6,16,15,500,21
"magic school bus Space adventures",2,6,16,16,523,11
"Mighty machines Lights ladders",2,6,16,16,629.224,11
"Kristens fairy house",2,6,16,20,595.789,12
Wind,2,6,16,20,621.31,8
Matter,2,6,16,20,530,11
"Ecosystems and biomes",2,6,16,20,577.82,12
"All about solids liquids gases",2,6,16,20,530.414,12
"way things work Heat",2,6,16,20,523.013,12
"National Geographics Animal holiday",2,6,16,23,591.7586,18
"Mighty machines Lights ladders",2,6,16,41,629.224,35
"All about cells body systems",2,6,16,50,571.6,11
"National park animals for kids",2,6,16,50,590.0973,11
"story of Ruby Bridges",2,6,16,51,379.26309,11
"Elmos potty time",2,6,17,14,649.62083,12
Amphibian,2,6,17,34,597.8,11
Bird,2,6,17,34,598,11
"Predator and prey",2,6,17,35,591.53,14
"Michael Michael motorcycle",2,6,17,36,629.2275,12
"Kids who rip com Vol 3",2,6,17,36,796.046,7
"Its potty time",2,6,17,38,649.62,14
"Mister Rogers neighborhood What do you do with the mad that you feel",2,6,17,50,152.47,11
"Human machine",2,6,17,51,612,20
"science of Disney imagineering Electricity",2,6,17,55,537,6
"Measurement solids circles standard units",2,6,18,4,516.15,12
"Aladdin and the magic lamp",2,6,18,11,398.22,12
"Sid the science kid Gizmos and gadgets",2,6,18,26,621.8,12
"So you want to be president and more stories to celebrate American history",2,6,18,27,352.23709,14
"science of Disney imagineering Energy",2,6,18,30,530,21
"Kids who rip com Vol 3",2,6,19,29,796.046,34
"science of Disney imagineering Gravity",2,6,19,33,531.14,17
"Animal atlas Animal passport",2,6,19,34,590.96,14
"Animal atlas Animal 123s",2,6,19,34,513.5,14
Flight,2,6,19,35,629.13,15
"French Disc 4 In my home",2,7,10,36,448.3421,9
"French 3 Playtime",2,7,10,36,448.3421,9
"Kid guides Zoos",2,7,11,51,590.7373,15
"Young minds numbers and counting",2,7,11,59,513.211,6
"Signing time Series 2 volume 10 Helping out around the house",2,7,12,20,419.7,11
"Signing time Series 2 volume 12 Box of crayons",2,7,12,20,419.7,11
"Lyric language Italian",2,7,12,20,458.3421,11
"magic school bus catches a wave",2,7,12,25,553.7,25
"Popular mechanics for kids Slither slime and other yucky things",2,7,12,25,500,6
"Sid the science kid Sid in motion",2,7,12,25,500,25
"Shalom Sesame Volume 4 Grover plants a tree",2,7,12,49,296.43,15
"Shalom sesame Volume 7 Its Passover Grover",2,7,12,49,296.437,15
"Shalom Sesame Volume 3 Shabbat shalom Grover",2,7,12,49,296.43,15
"Awesome animal builders",2,7,12,58,591.564,14
"Humphrey the lost whale",2,7,13,0,599.5,14
Life,2,7,13,0,570,14
"Our country USA to Z an alphabetical introduction to the USA",2,7,13,4,973,7
"Families of Russia",2,7,13,10,947.086,7
"Sid the science kid The ruler of thumb",2,7,13,20,530.8,17
"English ESL 2 Wake up smiling",2,7,13,21,428.3461,12
"English ESL 3 Playtime",2,7,13,21,428.3461,12
MicroCosmos,2,7,13,41,595.7,7
"Signing time Volume 4 Family feelings and fun",2,7,14,8,419.7,26
"Bugz from a bugs eye view",2,7,14,19,595.7,9
"Preschool fun Letters numbers",2,7,14,20,201,9
"Dancing for kids",2,7,14,20,792.80833,13
"crown and the sceptre a story from Arabia",2,7,14,21,398.22,13
"Signing time Series 2 volume 4 My favorite season",2,7,14,21,419.7,26
"Merlin and the dragons a story from Wales",2,7,14,21,398.20942,13
