title,month(cin),day(cin),hour(cin),minute(cin),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Sid the science kid Sid in motion",1,11,16,27,500,6
"Rock n learn Human body",1,11,16,52,612,5
"magic school bus Space adventures",1,11,16,54,523,5
Skeleton,1,11,16,56,573.76,5
"Kids can play keyboard",1,11,17,21,786.193,8
"Mary Cassatt",1,11,17,21,759.13,3
"Families of Mexico",1,11,17,26,972.0836,3
"British Isles",1,11,17,27,914.1,3
"Living room magic Volume 1",1,11,17,27,793.8,3
"world of learning Volume 2",1,12,11,5,629.13334,2
"Phonics 4 babies Babys first words",1,12,11,23,649.68,7
"Ellington was not a street",1,12,11,40,811.54,6
"Hey what about me",1,12,11,52,306.875,6
"Wiggles Its always Christmas with you",1,12,12,48,782.42083,3
"Meet the sight words 1",1,12,13,4,372.462,4
"science of Disney imagineering Designs and models",1,12,13,32,620.004,8
"Early start Mandarin Chinese Volume 1 Colors and animals",1,12,13,34,495.18342,6
"Early start Mandarin Chinese Volume 2 Numbers and fruits",1,12,13,34,495.18342,6
"magic school bus Super sports fun",1,12,13,37,530,4
"May I pet your dog the how to guide for kids meeting dogs and dogs meeting kids",1,12,13,42,636.70893,4
"I love airplanes",1,12,14,5,629.133,1
"All about the police",1,12,14,5,363.20973,7
"Amazing North America",1,12,14,12,591.97,6
"Wonders down under",1,12,14,12,591.994,6
"Revolutionary War heroes",1,12,14,14,973.2,6
"Im a potty pirate potty training for boys",1,12,14,41,649.62,9
"Arabic for babies toddlers and preschoolers Disc 2 Wake up smiling",1,12,14,49,492.7071,6
"Arabic for babies toddlers and preschoolers Disc 3 Playtime",1,12,14,49,492.7071,6
"Mighty machines Lights ladders",1,12,14,52,629.224,4
"Sid the science kid Sid in motion",1,12,15,15,500,4
"Globe toddlers Adventures in Mexico",1,12,15,20,468.2421,0
"Humanoid robots",1,12,15,27,629.892,4
"Lets talk geography maps and globes",1,12,15,54,912,7
"Wild about safety Safety smart about fire",1,12,15,55,363.377,1
"Space exploration",1,12,16,7,629.4,7
"Sid the science kid Going going green",1,12,16,12,791.4575,0
"Activity TV Cooking snacks",1,12,16,13,641.5123,0
"Families of Afghanistan",1,12,16,20,958.1,3
"Party day",1,12,16,42,782.42083,9
"Wiggles Top of the tots",1,12,16,45,782.42083,5
"Wiggles Sing a song of Wiggles",1,12,16,45,782.42083,5
"Go potty go potty training for tiny toddlers",1,12,16,53,649.62,2
"Im a potty pirate potty training for boys",1,12,16,53,649.62,2
"Families of Korea",1,12,17,6,951.9043,2
"Predator and prey",1,12,17,26,591.53,10
"animated Passion for the whole family",1,12,17,44,232.96,8
"Mister Rogers neighborhood What do you do with the mad that you feel",1,13,13,10,152.47,3
"You can heal your life the movie",1,13,13,12,158,2
"Kidz bop Dance moves",1,13,14,15,793.3,8
"Just kickin it",1,13,14,26,796.3342,10
Cat,1,13,14,28,599.75,9
"Families of Korea",1,13,15,8,951.9043,4
"Smell my world",1,13,15,9,612.86,10
"Danger Rangers Mission 547 safety rules",1,13,15,30,613.6,3
"Puppytown Growing up",1,13,15,31,636.73,3
"Between the lions The popcorn popper",1,13,15,44,372.465,7
"Animal atlas Animal passport",1,13,16,5,590.96,6
"Signing time Series 2 volume 12 Box of crayons",1,13,16,6,419.7,7
"Letters reading",1,13,16,6,372.4,7
"Words reading",1,13,16,6,372.4,7
"Happy to be nappy and other stories of me",1,13,16,13,305.908,4
"Addition subtraction",1,14,10,1,513.21,4
"Animal atlas Animal passport",1,14,10,11,590.96,2
"Wiggles Lets eat",1,14,10,12,782.42083,2
"Animal atlas Superhero animals",1,14,10,13,590,2
"Here come the ABCs",1,14,10,13,782.42083,4
"Wiggles Racing to the rainbow",1,14,10,32,782.42083,10
"Ready for science and geography",1,14,11,21,372.8,11
"Lots lots of jets and planes Vol 2 Adventures in the air",1,14,12,3,629.13334,6
"John Deere earth mover action",1,14,13,3,629.225,8
"Learn hip hop step by step",1,14,13,7,782.42164,3
"Fizzys lunch lab Fresh foods 101",1,14,13,32,613.2,11
Migration,1,14,13,35,591.568,5
"Families of Israel",1,14,13,38,956.54,1
Cat,1,14,13,42,599.75,10
"Im a potty princess potty training for girls",1,14,14,2,649.62,11
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,14,14,17,629.13334,11
"Train crazy kids",1,14,14,18,625.2,12
"Road construction ahead 2",1,14,14,18,625.725,12
"Lots lots of fire trucks Vol 2 Amazing rescue rigs",1,14,14,21,628.9259,12
"John Deere action 2",1,14,14,22,629.2252,12
Earthquakes,1,14,14,39,551.22,7
Migration,1,14,14,40,591.568,11
"Probability statistics",1,14,15,50,519.2,7
"Free to be you and me",1,14,16,15,810.8,6
"Im a potty princess potty training for girls",1,14,16,22,649.62,5
"National park animals for kids",1,14,16,32,590.0973,6
"Swan lake",1,14,16,34,792.842,7
Nutcracker,1,14,16,37,792.842,7
"All about the human life cycle",1,14,16,37,612.6,6
"Origami fun for kids",1,14,16,39,736.982,10
"Kids Ten Commandments the complete collection",1,14,16,40,241.52,10
"Japanese Disc 1 Eating and drinking",1,14,16,56,495.68342,11
"Japanese Disc 3 Playtime",1,14,16,58,495.68342,11
"English ESL 2 Wake up smiling",1,14,16,58,428.3461,11
"Japanese Disc 2 Wake up smiling",1,14,16,58,495.68342,11
"Predator and prey",1,14,16,58,591.53,11
"All about the human life cycle",1,14,16,58,612.6,11
"Silly songs sing a long",1,14,16,58,782.42083,11
"Families of Korea",1,14,16,59,951.9043,4
"Kool Kids sing a long",1,14,17,5,782.42083,6
"Linnea in Monets garden",1,14,17,35,759.4,6
"Sid the science kid Sids sense ational adventures",1,14,17,42,500,10
"magic school bus Super sports fun",1,14,18,8,530,7
Gravity,1,14,18,14,531.14,11
Forensics,1,14,18,14,363.25,11
Caves,1,14,18,22,551.447,11
"Miss Christys Dance adventure",1,14,18,32,793.3083,5
"Families of Russia",1,14,19,7,947.086,3
"1st 7th grade math tutor 7 hour video course",1,14,19,29,513.2,10
"Baby boost Nursery rhymes",1,14,19,29,782.42083,10
"Animal atlas Animal 123s",1,14,19,29,513.5,10
Weather,1,14,19,47,551.5,12
"All about bones muscles",1,14,19,48,612.75,12
"Human machine Bodyzone",1,14,19,48,612,12
"Meerkat manor Season one",1,14,19,50,599.742,5
"magic school bus Bugs bugs bugs",1,15,10,22,595.7,5
Gravity,1,15,10,22,531.14,11
"emperors egg",1,15,10,35,598.47,4
"Once upon a potty for him",1,15,10,37,649.62,11
"Fun on the farm introducing Doodle the Rooster and his animated friends",1,15,10,37,630.68,11
"Sid the science kid Sids backyard campout",1,15,10,44,796.54,8
"Podna and Podni a story from Pakistan",1,15,10,44,398.20954,8
"scrambled states of America and more stories to celebrate our country",1,15,10,47,973,8
"magic school bus Holiday special",1,15,10,47,333.72,10
"French 3 Playtime",1,15,11,3,448.3421,11
"All about trucks",1,15,11,22,629.224,7
"shepherdess and the chimney sweep",1,15,12,3,398.20948,12
"three sisters who fell into the mountain a story from Norway",1,15,12,3,398.20948,12
"little primaballerina ballet training for children",1,15,12,18,792.8,7
"Kidz bop Dance moves",1,15,12,44,793.3,12
"Schoolhouse rock",1,15,13,2,372,9
"Sid the science kid Sid in motion",1,15,13,4,500,6
"Im a potty pirate potty training for boys",1,15,13,21,649.62,5
"Sid the science kid Weather kid Sid",1,15,13,35,551.5,12
"Blast off a kids introduction to the space program",1,15,13,40,629.40973,11
"Wild about safety Safety smart about fire",1,15,13,41,363.377,7
"I love airplanes",1,15,13,41,629.133,7
"Lots lots of fire songs safety tips",1,15,13,41,363.377,7
"Peep and the big wide world Chirp flies",1,15,13,42,372.35,1
"John Deere action 3",1,15,13,52,629.2252,13
"Mom Dad me aprendemos EspaÂ¤ol",1,15,14,1,468.3421,7
"Humanoid robots",1,15,14,1,629.892,13
"Lots lots of trains Vol 1 Smokin steam diesel",1,15,14,9,625.2,13
"I love toy trains Parts 4 5 6",1,15,14,18,625.19,13
"Baby boost Nursery rhymes",1,15,14,25,782.42083,10
"Big fins",1,15,14,29,591.77,10
"Land sea air adventures",1,15,14,37,623.8245,1
"Rock n learn Earth science",1,15,14,42,550,8
"Lets have a playdate with Brahms",1,15,15,10,784.42083,13
"Swan lake",1,15,15,10,792.842,13
"Elmos potty time",1,15,15,46,649.62083,12
"Lots lots of jets and planes Vol 3 Jumbo jets in action",1,15,15,46,629.13334,6
"Animal atlas Family time",1,15,15,47,590,11
Reptile,1,15,15,47,597.957,11
Michelangelo,1,15,15,54,759.5,11
"world of learning Volume 2",1,15,16,14,629.13334,3
"Fun on the farm 2",1,15,16,14,630,3
"John Deere action 2",1,15,16,14,629.2252,3
"Lots lots of big trains Vol 1 Giant railroad action",1,15,17,12,625.2,9
"Buster loves music",1,15,17,37,780,12
"Rock n learn Multiplication rap",1,15,17,38,513.213,6
"Hola amigos Volume 1",1,15,17,40,468.3421,2
"Meet the colors",1,15,17,53,535.6,13
"Addition subtraction rock",1,15,18,16,513.21,6
"Hot potatoes the best of the Wiggles",1,15,18,18,782.42083,1
"iKnow animals letters sounds Vol 2",1,15,18,39,372.465,12
