title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Train crazy kids",2,26,13,21,625.2,11
"All about trains for kids",2,26,13,21,625.1,11
"Abraham Lincoln sixteenth president",2,11,18,3,973.7092,25
"science of Disney imagineering Levers and pulleys",2,24,13,21,621.8,13
"French 1 Eating and drinking",2,24,16,37,448.3421,12
"French 3 Playtime",2,11,15,35,448.3421,26
"French Disc 6 I can count",2,11,15,35,448.3421,26
Reptiles,2,23,13,11,597.9,14
"School house rock Money rock",2,26,12,44,332.024,11
"Whats in the Bible 2 Let my people go",2,24,15,13,222.12,13
"Shalom Sesame Disc 3 Rehov Sumsum Disc 3",2,2,13,23,956.94,35
"Shalom sesame Volume 7 Its Passover Grover",2,2,13,23,296.437,35
"Shalom sesame Volume 1 Welcome to Israel",2,2,13,24,956.94,35
"Shalom sesame Volume 2 Chanukah the missing Menorah",2,2,13,23,956.94,35
"Shalom Sesame Volume 3 Shabbat shalom Grover",2,2,13,23,296.43,35
"Shalom sesame Volume 12 Adventures in Israel",2,2,13,23,956.94,35
"Shalom Sesame Disc 5 Rehov Sumsum Disc 5",2,2,13,23,956.94,35
"Shalom Sesame Disc 4 Rehov Sumsum Disc 4",2,2,13,23,956.94,35
"Sid the science kid Sids backyard campout",2,17,16,8,796.54,20
"Elmos world Food water exercise",2,25,16,9,613.7042,12
"magic school bus Holiday special",2,25,16,35,333.72,12
"All about Earths history",2,24,16,19,551.7,13
"Eleanor Roosevelt",2,24,14,45,973.91709,13
"Mighty machines Mega machines",2,10,13,52,629.225,27
"Mighty machines Roadways to runways",2,23,16,33,629.133,14
"Lots lots of jets and planes Vol 1 Thunder in the skies",2,21,11,7,629.13334,16
"Lots lots of trucks Vol 2 Mighty tough trucks",2,25,19,18,629.224,11
"Lots lots of trains Vol 1 Smokin steam diesel",2,21,11,7,625.2,16
Subtraction,2,23,14,52,513.212,14
"Lots lots of playful penguins and their toe tappin feet",2,23,14,52,598.47,14
"Spanish Disc 5 Happy sad and silly",2,23,14,52,468.3421,14
"Prehistoric life",2,23,14,52,576.8,14
"Buried treasures",2,12,11,47,567.9,26
"Tot tap a fun filled introduction to the world of tap dance for kids",2,24,16,41,792.78,13
"Muzzy Italian",2,24,13,12,458.3421,13
"American Sign Language for kids and adults Volume 2 Visiting the zoo",2,27,16,40,419.7,10
"Sid the science kid Gizmos and gadgets",2,24,16,29,621.8,13
"Swingset mamas swing dance and sing",2,24,15,5,782.42083,13
"Cinderella a dance fantasy",2,24,15,5,782.95,13
"Spanish Disc 4 In my home",2,22,16,8,468.3421,15
"Spanish 2 Wake up smiling",2,22,16,8,468.3421,15
"Spanish Disc 5 Happy sad and silly",2,22,16,8,468.3421,15
"Spanish 1 Eating and drinking",2,22,16,8,468.3421,15
"Spanish Disc 6 I can count",2,20,16,26,468.3421,17
"Spanish 3 Playtime",2,22,16,8,468.3421,15
"Early start Mandarin Chinese Volume 3 A wonderful day",2,23,17,26,495.18342,14
"Kick to get fit Jr for kids",2,23,12,19,613.71,15
"Sid the science kid Going going green",2,3,14,47,791.4575,35
"Mandarin Chinese Disc 5 Happy sad and silly",2,23,17,26,495.13421,14
"Puppytown Growing up",2,27,17,38,636.73,10
"Fairy dancing",2,27,17,38,791.4372,10
"Hebrew Disc 3 Playtime",2,27,17,38,492.48342,10
"Silly songs sing a long",2,27,17,38,782.42083,10
"Mighty machines Ships ahoy Super machines Ohâ du bateau",2,9,15,51,623.82,28
"Mighty machines Machines on the job",2,9,15,51,621.8,28
"Families of Canada",2,25,15,33,971.07,13
Nutcracker,2,26,18,31,792.842,11
"Raven steals the daylight a story from Alaska",2,2,12,40,398.20979,36
"Spanish Disc 6 I can count",2,16,14,3,468.3421,22
"Fun with dance",2,2,12,39,796.13,36
"Yay Planes",2,9,14,8,629.1333,29
"I love airplanes",2,9,14,8,629.133,29
"Ca nhac XuÆn Mai 10",2,26,14,30,782.42083,12
"Baby signing time Volume 4 Lets be friends",2,26,18,27,419,11
"Whats in the Bible 1 In the beginning",2,25,15,49,220.61,13
"East Africa for kids",2,8,11,34,967.6,30
"Ethiopia for kids",2,8,11,34,963,30
"Baby signing time Volume 1",2,11,16,37,419,27
"Baby signing time Volume 2",2,11,16,37,419,27
"magic school bus Super sports fun",2,15,15,51,530,23
"Sid the science kid Sids backyard campout",2,10,15,54,796.54,28
"Storyland yoga",2,23,13,29,613.7046,15
"Lets have a playdate with Brahms",2,23,13,30,784.42083,15
"I spy A rockin bronco and other stories",2,23,13,30,793.735,15
"Hola amigos Volume 1",2,11,11,34,468.3421,27
"Cantos y rimas Nursery songs rhymes",2,11,11,34,782.42083,27
"Cantamos y aprendemos con Josâ Luis Orozco",2,11,11,34,468.3421,27
"Blast off a kids introduction to the space program",2,8,10,26,629.40973,31
"I love airplanes",2,8,10,26,629.133,31
"AstroPuppies in space an amazing adventure for young astronauts",2,17,16,32,523.2,21
"Arctic tale",2,25,16,0,599.786,13
Rembrandt,2,15,13,11,759.9492,23
"Jack and the beanstalk",2,19,10,21,398.20942,20
"May I pet your dog the how to guide for kids meeting dogs and dogs meeting kids",2,26,13,38,636.70893,12
"Food diet exercise",2,26,16,28,641.563,12
"Going to Grandmas around the world",2,25,15,1,782.42083,13
"Hebrew Disc 1 Eating and drinking",2,25,15,1,492.48342,13
"Hebrew Disc 3 Playtime",2,25,15,1,492.48342,13
"Hebrew Disc 2 Wake up smiling",2,25,15,1,492.48342,13
Amphibians,2,19,18,50,597.8,19
"This fragile planet preserving nature and balancing the environment",2,5,12,43,304.2083,34
"Lots lots of trains Vol 1 Smokin steam diesel",2,22,11,39,625.2,17
"Lots lots of trains Vol 2 Thunder on the tracks",2,27,11,10,625.2,12
"Shalom Sesame Volume 6 Be happy its Purim",2,14,13,44,296.436,25
"French 1 Eating and drinking",2,8,10,8,448.3421,31
"Time for manners Vol 2 Table time",2,19,12,54,395.54,20
"Baby signing time Volume 2",2,1,17,12,419,37
"Baby babble 2 First words P B M",2,1,17,12,155.42236,37
Bird,2,25,13,6,598,14
"Schoolhouse rock Science",2,15,13,20,500,24
"Train crazy kids",2,24,16,49,625.2,14
"Kid guides Zoos",2,27,15,23,590.7373,12
"Paul Bunyan",2,27,15,23,398.20973,12
Seashore,2,27,15,22,578.7699,12
"George Washington first President",2,26,12,36,973.41092,13
"Schoolhouse rock Multiplication rock",2,10,14,59,513.213,29
"Sid the science kid The ruler of thumb",2,24,14,0,530.8,15
"I spy A rockin bronco and other stories",2,25,13,0,793.735,14
"Meet the colors",2,16,13,41,535.6,23
"Danger Rangers Mission 547 safety rules",2,26,17,10,613.6,12
"Paul Bunyan",2,28,14,27,398.20973,11
"Preschool fun Letters numbers",2,28,14,27,201,11
"Rock n learn Getting ready for kindergarten",2,28,14,27,372.218,11
Earthquakes,2,24,14,11,551.22,15
"magic school bus Bugs bugs bugs",2,26,16,25,595.7,13
"Smell my world",2,14,12,27,612.86,25
"Professor Parrot speaks Spanish We are friends Somos amigos",2,21,14,0,468.2421,18
"Babies toddlers",2,25,18,10,419,13
"Rock n learn Letter sounds",2,25,18,10,372.465,13
"Rock n learn Telling time",2,25,16,30,681.113,14
"Drawing power Vol 7 Undersea animal drawing",2,5,16,44,743.6,34
"Mister Maker Lets make it",2,26,17,44,745.5,13
"World art",2,26,17,44,745.5,13
"French Disc 4 In my home",2,23,13,21,448.3421,16
"Ellington was not a street",2,14,12,59,811.54,25
"elephant DVD with Eric Herman",2,14,12,59,782.42083,25
"Michael Michael motorcycle",2,27,11,8,629.2275,12
"Wiggles Ukulele baby",2,26,13,34,791.42083,13
"Hot potatoes the best of the Wiggles",2,26,13,34,782.42083,13
"magic school bus Space adventures",2,27,10,58,523,13
"Sid the science kid Sids sense ational adventures",2,28,12,26,500,11
"Sid the science kid Change happens",2,27,10,14,507,13
"Fizzys lunch lab Fresh foods 101",2,27,10,14,613.2,13
"Sid the science kid Sids sense ational adventures",2,27,10,14,500,13
"Hip hop for kids School house hop",2,17,14,46,793.3,22
"Kids love Spanish Volume 1 Basic words",2,21,14,0,468.3421,18
"Awesome animal builders",2,19,13,8,591.564,20
"Mister Maker Lets make it",2,19,15,49,745.5,20
"Baby signing time Volume 1",2,5,13,21,419,34
"Play learn Chinese with Mei Mei 7 Lets visit Dawei Village",2,27,12,51,495.1824,13
"Mandarin Chinese Disc 4 In my home",2,28,13,20,495.13421,11
"Wiggles Lets eat",2,27,12,51,782.42083,13
"Rock n learn Getting ready for kindergarten",2,25,14,13,372.218,14
"world of learning Volume 1",2,10,13,59,629.2222,29
"Metal monsters",2,3,17,49,621.86,36
"Living room magic Volume 2",2,19,18,37,793.8,20
"frog prince",2,22,13,28,398.2,18
India,2,12,15,57,954,27
China,2,12,15,57,951,27
"Shakespeare the animated tales Volume 3",2,24,13,30,822.33,16
"Families of Mexico",2,12,15,57,972.0836,27
"Amazing North America",2,12,11,53,591.97,28
"Rock n learn Telling time",2,25,15,17,681.113,14
"French 1 Eating and drinking",2,25,15,17,448.3421,14
"Fun on the farm 2",2,26,16,58,630,13
"Rock n Learn Alphabet",2,27,14,55,372.41,13
"Arctic Antarctic",2,27,14,55,508.98,13
"Mighty machines Lights ladders",2,27,14,55,629.224,13
"Muzzy Chinese Level I",2,20,12,50,495.18342,20
"basic math word problem tutor 8 hour video course",2,26,18,26,519.076,13
"All about blood the heart",2,26,18,28,612.1,13
"Arctic tale",2,16,11,53,599.786,24
"Arctic tale",2,24,13,28,599.786,16
"Zoboomafoo Wild creatures furry fashion",2,23,11,40,590,17
"Eyewitness Planets",2,10,15,27,523.4,30
"Swingset mamas swing dance and sing",2,26,16,34,782.42083,13
Skeleton,2,26,18,26,573.76,13
"Learn ballet step by step",2,25,16,24,792.82,14
"All about the senses",2,26,18,26,612.8,13
"Eyewitness Ocean",2,14,11,48,551.461,26
"Wiggles You make me feel like dancing",2,27,15,27,201,13
"Swan lake",2,21,15,42,792.842,19
"best of Mighty machines flying racing rolling",2,26,14,42,629.225,14
"All about land formations",2,1,14,24,551.4,39
"Shanti Generation yoga skills for youth peacemakers",2,13,13,10,613.7046,27
"Timoon and the Narwhal a story from Canada",2,26,10,30,398.20971,14
"Storyland yoga",2,6,18,6,613.7046,33
"Eyewitness Planets",2,28,15,58,523.4,12
"All about fossils",2,19,18,37,560,20
"Marine mammals",2,28,15,58,591.77,12
"Puppytown Growing up",2,28,15,58,636.73,12
"Hot potatoes the best of the Wiggles",2,22,15,43,782.42083,18
"All about electricity",2,23,15,34,523.01,17
"Kids can play recorder",2,19,17,36,788.3619,21
"Families of Israel",2,19,17,36,956.54,21
"All about simple machines",2,19,17,36,621.8,21
"Activity TV Science",2,22,15,43,507.1,18
"Preschool fun Letters numbers",2,8,13,48,201,32
Mexico,2,12,16,51,305.86872,28
"Baby dance",2,12,16,51,796.13,28
"Shalom Sesame Volume 3 Shabbat shalom Grover",2,12,17,46,296.43,28
"Popular mechanics for kids Gators dragons and other wild beasts",2,26,19,43,333.954,13
"Barack Obama the story of our 44th president",2,28,17,51,973.93209,12
"best of Mighty machines flying racing rolling",2,16,13,31,629.225,24
"Mighty machines Ships ahoy Super machines Ohâ du bateau",2,16,13,31,623.82,24
"Kid guides Kids sea camp Curacao",2,23,15,4,639.342,17
"Arctic tale",2,24,15,3,599.786,16
"Kristens fairy house",2,27,13,23,595.789,13
"Creepy creatures",2,26,17,24,591,14
"Origami alive Vol 2",2,23,15,4,736.982,17
"Fizzys lunch lab Fresh foods 101",2,27,17,43,613.2,13
"Smell my world",2,27,17,43,612.86,13
"American Sign Language for kids Beginner level 1 volume 2",2,27,17,43,419.7,13
"French Disc 4 In my home",2,7,16,27,448.3421,33
Dinosaur,2,27,14,14,567.9,13
"way things work Musical instruments",2,20,19,10,784.19,20
"Things with strings",2,20,19,10,787,20
Flight,2,26,12,15,629.1301,14
"science of Disney imagineering Fluids",2,25,17,58,532,15
"Sid the science kid Sids sing along",2,12,17,4,782.42083,28
"Animal atlas Superhero animals",2,25,18,54,590,15
"Loose at the zoo",2,25,18,54,590.73,15
"best of Mighty machines flying racing rolling",2,27,14,27,629.225,13
"Blast off a kids introduction to the space program",2,27,14,27,629.40973,13
Matter,2,27,11,30,530,14
"Lots lots of jets and planes Vol 2 Adventures in the air",2,13,11,52,629.13334,28
"United States",2,27,11,30,973,14
MicroCosmos,2,13,11,27,595.7,28
"Sid the science kid Sids backyard campout",2,27,10,23,796.54,14
"Snowplows on patrol",2,26,11,57,625.763,15
"Mighty machines Machines on the job",2,26,11,57,621.8,15
"Math cure",2,26,15,55,510,14
Cat,2,26,15,55,599.75,14
"Arctic Antarctic",2,26,15,55,508.98,14
"Dancing for kids",2,27,15,1,792.80833,13
"Yoga by the dozen",2,27,15,1,613.7046,13
"Mandarin Chinese 3 Playtime",2,20,13,13,495.13421,21
"My fantastic field trip to the planets",2,26,15,55,523.4,14
"Schoolhouse rock",2,28,11,3,372,13
"Preschool fun Planets dinosaurs",2,13,11,45,523.4,28
"Kidz bop Dance moves",2,24,14,12,793.3,17
"science of Disney imagineering Levers and pulleys",2,24,14,12,621.8,17
"Kids love Spanish Volume 7 Basic phrases",2,27,19,10,468.3421,13
"Japanese Disc 1 Eating and drinking",2,5,16,39,495.68342,35
"Schoolhouse rock America",2,21,10,37,973,20
"magic school bus Super sports fun",2,26,19,34,530,14
"Sleeping beauty",2,23,10,56,792.842,18
"Baby animals",2,16,17,18,599.5,24
Reptile,2,16,17,18,597.957,24
"Lots lots of fire songs safety tips",2,9,10,53,363.377,32
Mexico,2,23,13,44,972,18
"AstroPuppies in space an amazing adventure for young astronauts",2,13,17,19,523.2,28
"Swan lake",2,22,12,54,792.842,19
Dog,2,14,17,3,599.77,27
"Japanese Disc 2 Wake up smiling",2,17,15,42,495.68342,24
"iKnow animals letters sounds Vol 1",2,14,10,54,372.465,27
"Meet the phonics Letter sounds",2,14,10,54,372.465,27
"basic math word problem tutor 8 hour video course",2,24,16,4,519.076,17
"1st 7th grade math tutor 7 hour video course",2,24,16,4,513.2,17
"Signing time Series 2 volume 10 Helping out around the house",2,25,11,47,419.7,16
"Signing time Volume 1 My first signs",2,21,16,28,419.7,20
"Signing time Series 2 volume 13 Who has the frog",2,25,11,47,419.7,16
"Lots to learn Nature",2,14,11,16,372.357,27
"Meet the numbers",2,28,12,3,372.72,13
"Meet the letters",2,28,12,3,428.13,13
"Meet the phonics Digraphs",2,28,12,3,372.465,13
"Meet the phonics Letter sounds",2,28,12,3,372.465,13
"Rocks and minerals",2,26,15,32,552,15
"Gigantic machines",2,4,12,33,629.22,37
"fantasy garden ballet class",2,28,10,27,792.8,14
"Im a ballerina now",2,28,10,27,792.8,14
"School house rock Earth",2,28,13,49,333.72,13
"Vamos a jugar Lets play",2,19,17,28,468.3421,22
"All about airplanes and flying machines",2,24,14,19,629.133,17
"Backyard soccer drills",2,7,11,42,796.3342,35
"Go potty go potty training for tiny toddlers",2,27,17,12,649.62,14
"Im a potty pirate potty training for boys",2,27,17,12,649.62,14
"Dancing for kids",2,27,17,12,792.80833,14
"Wiggles You make me feel like dancing",2,28,11,54,201,14
"scoop on poop",2,27,17,13,612.36,14
"Ready for phonics Level 1",2,27,17,12,372.465,14
"Meet the phonics Digraphs",2,27,17,12,372.465,14
"Once upon a potty for him",2,27,17,13,649.62,14
"Vamos a jugar Lets play",2,4,12,33,468.3421,38
"Baby dance",2,4,12,33,796.13,38
"Italian Disc 1 Eating and drinking",2,20,16,57,458.3421,21
"Fire engines trucks airplanes fast trains",2,25,12,8,628.9259,17
"I dont fit under the desk advanced earthquake safety",2,25,14,11,363.3495,17
"Dropping in on Picasso",2,28,17,8,759.4,13
"Touch my world",2,25,19,23,612.88,16
"Peep and the big wide world Chirp flies",2,19,12,9,372.35,23
"Peep and the big wide world Peeps new friends",2,19,12,9,372.35,23
"Peep and the big wide world Peep finds",2,19,12,9,372.35,23
"Dance learn Chinese with Mei Mei",2,16,12,26,495.18342,26
"Play learn Chinese with Mei Mei 2",2,16,12,26,495.1824,26
"Play learn Chinese with Mei Mei 2",2,7,14,26,495.1824,35
"Spanish for kids Beginner level 1 volume 1",2,7,14,26,468.3421,35
"Sid the science kid Sid in motion",2,3,14,25,500,39
"All about natural resources",2,19,17,36,553,23
"All about fossils",2,19,17,36,560,23
"All about forces gravity",2,19,17,36,531.6,23
Mammals,2,9,14,12,599,33
"Rock n learn Telling time",2,7,17,20,681.113,35
Germany,2,20,17,5,914.304,22
Geometry,2,27,17,6,516,15
"Ocean life",2,27,17,7,577.7,15
"science of Disney imagineering Newtons 3 laws of motion",2,27,17,7,531,15
"Rock n learn Addition subtraction rap",2,27,17,7,513.21,15
"Shakespeare the animated tales Volume 4",2,14,12,19,822.33,28
"Shakespeare the animated tales Volume 3",2,14,12,19,822.33,28
"Food chains",2,26,14,8,577.16,16
"Rock n learn Alphabet circus",2,25,16,38,372.465,17
"magic school bus Creepy crawly fun",2,28,17,56,534,14
"Facing fear without freaking out",2,28,16,4,155.41246,14
Fractions,2,14,18,31,513.26,28
"Lots lots of trucks Vol 2 Mighty tough trucks",2,27,12,30,629.224,15
"Kids love Spanish Volume 5 Colors shapes",2,27,19,26,468.3421,15
"German for babies toddlers and preschoolers Disc 6 I can count",2,27,19,26,438.3421,15
"little primaballerina ballet training for children",2,19,14,14,792.8,23
"German for babies toddlers and preschoolers Disc 5 Happy sad and silly",2,27,19,26,438.3421,15
"Baby boost Nursery rhymes",2,21,16,43,782.42083,21
"Signing time Series 2 volume 6 Days of the week",2,4,17,38,419.7,38
"Signing time Volume 6 My favorite things",2,4,17,38,419.7,38
"Signing time Series 2 volume 4 My favorite season",2,16,11,13,419.7,27
"Families of Sweden",2,25,16,4,948.5,17
"All about waves",2,19,17,36,531.33,23
"Rock n learn Phonics Volumes I II",2,25,10,26,372.465,18
"Sid the science kid Weather kid Sid",2,28,15,49,551.5,14
"Families of Thailand",2,23,12,48,959.3,20
"Soccer games 40 great games to make your practices fun",2,8,14,36,796.3342,35
"Rock n learn Multiplication rap",2,25,15,20,513.213,18
"Collage art for kids Volume 1 Paper collage",2,19,16,37,702.812,24
Electricity,2,16,11,57,537,28
"Human machine",2,7,16,2,612,36
"Schoolhouse rock Grammar",2,9,10,12,428,35
"Mandarin Chinese 1 Eating and drinking",2,3,13,46,495.13421,40
"Mandarin Chinese Disc 4 In my home",2,3,13,46,495.13421,40
"enchanted lion",2,21,11,5,398.20943,23
Life,2,26,16,36,570,17
"Dancing for kids",2,16,13,45,792.80833,28
"ballerina me",2,16,13,45,792.8,28
"Jazz class for kids",2,16,15,24,793.3,27
"YogaFit kids a YogaFit workout",2,16,15,24,613.7046,27
"Loose at the zoo",2,12,13,57,590.73,32
"French 1 Eating and drinking",2,4,16,34,448.3421,39
"Lets hear it for the Laurie Berkner Band",2,23,11,15,782.42083,21
"School house rock Money rock",2,24,13,23,332.024,20
"School house rock Election collection",2,24,13,23,320.973,20
"Schoolhouse rock Multiplication rock",2,24,13,23,513.213,20
"Mister Rogers neighborhood What do you do with the mad that you feel",2,25,12,6,152.47,19
Rembrandt,2,23,13,3,759.9492,21
"English ESL 2 Wake up smiling",2,23,17,42,428.3461,20
"English ESL 3 Playtime",2,23,17,42,428.3461,20
Germany,2,16,16,3,914.304,28
Bali,2,16,16,3,915.986,28
"Kristens fairy house",2,16,16,3,595.789,28
"Mickeys Around the world in 80 days",2,14,16,50,372.8,30
"Baby signing time Volume 4 Lets be friends",2,25,15,6,419,19
"Vamos a jugar Lets play",2,25,15,8,468.3421,19
"French Disc 5 Happy sad and silly",2,25,15,7,448.3421,19
"Meerkat manor Season one",2,28,13,56,599.742,16
"Sid the science kid Sids backyard campout",2,19,17,41,796.54,25
"Mister Rogers neighborhood What do you do with the mad that you feel",2,11,12,2,152.47,34
"safe side Stranger safety hot tips to help keep cool kids safer with people they dont know and kinda know",2,12,17,23,613.6083,32
"Muzzy Spanish",2,26,10,28,468.3421,19
"art of knitting 4 kids",2,10,14,41,746.432,34
"Fairy dancing",2,2,17,21,791.4372,42
"Adventures of monkey king 1 The making of monkey king",2,22,17,39,398.20951,22
"Loch Ness kelpie a tale from Scotland",2,22,17,39,398.20941,22
"Signing time Series 2 volume 7 My favorite sport",2,15,16,54,419.7,29
"Predator and prey",2,9,16,22,591.53,35
"Schoolhouse rock Grammar",2,9,16,22,428,35
Gravity,2,9,16,22,531.14,35
"Families of Sweden",2,19,19,44,948.5,25
"Human machine",2,9,16,22,612,35
"National park animals for kids",2,9,14,8,590.0973,36
"Sid the science kid The ruler of thumb",2,26,18,53,530.8,18
"Teaching signs for baby minds 1 Everyday signs",2,16,16,53,419.7,28
"My baby can talk Sharing signs",2,16,16,53,419,28
"Predator and prey",2,12,18,57,591.53,32
"YogaKids 2 more poses more fun",2,14,15,18,613.7046,31
"All about simple machines",2,24,16,39,621.8,20
"Our feathered friends adventures on a chicken farm",2,6,15,51,636.5,39
"Land sea air adventures",2,11,10,43,623.8245,34
"I love big machines Parts 1 and 2",2,11,10,43,621.86,34
"Garbage monsters",2,11,10,43,628.445,34
"Lots lots of trucks Vol 2 Mighty tough trucks",2,11,10,43,629.224,34
"Mighty machines Tremendous tools",2,14,12,18,621.8,31
"Rock n learn Human body",2,20,11,27,612,26
"Collage art for kids Volume 1 Paper collage",2,20,11,25,702.812,26
Cat,2,13,11,26,599.75,33
"All about the human life cycle",2,20,11,26,612.6,26
"Families of United Kingdom",2,25,15,33,942.086,20
"Eyewitness Ocean",2,10,13,26,551.461,36
"English ESL 1 Eating and drinking",2,25,13,1,428.3461,21
"English ESL 4 In my home",2,25,13,1,428.3461,21
"Sid the science kid The ruler of thumb",2,20,16,16,530.8,25
"Sid the science kid Sids backyard campout",2,20,16,16,796.54,25
"Born to worship",2,26,14,41,782.42171,20
"Classical baby The art show",2,27,19,8,700.103,18
"animated Passion for the whole family",2,27,19,7,232.96,18
"Adventures with dance",2,6,13,37,792.8,40
Nutcracker,2,6,13,37,792.842,40
"little primaballerina ballet training for children",2,7,14,27,792.8,39
Flight,2,15,10,50,629.1301,31
Seashore,2,15,10,50,578.7699,31
"Predator and prey",2,3,16,57,591.53,42
Subtraction,2,20,16,9,513.212,26
"Predator and prey",2,20,16,9,591.53,26
"Young minds numbers and counting",2,20,16,9,513.211,26
"Ready for beginning math",2,20,16,9,372.7049,26
"Alphabet phonics fun",2,20,16,9,411,26
"Kid guides Zoos",2,19,16,45,590.7373,26
"Kid guides Aquariums",2,19,16,45,597.073,26
"Signing time Volume 6 My favorite things",2,21,16,28,419.7,24
"trip to the dentist can be lots of fun",2,22,16,22,617.645,24
"Around the world",2,26,19,28,305.8,19
"Growing up wild Amazing baby animals",2,26,19,47,599.139,19
"Arctic tale",2,26,19,47,599.786,19
"science of Disney imagineering Designs and models",2,7,15,26,620.004,39
"trip to the dentist can be lots of fun",2,20,19,10,617.645,25
"chief and the carpenter",2,24,15,43,398.20972,22
"crown and the sceptre a story from Arabia",2,24,15,43,398.22,22
"enchanted lion",2,24,15,43,398.20943,22
"Podna and Podni a story from Pakistan",2,24,15,43,398.20954,22
"National park animals for kids",2,4,18,1,590.0973,41
"raspberry worm",2,24,15,43,398.20948,22
"Raven steals the daylight a story from Alaska",2,24,15,43,398.20979,22
"How things work",2,11,15,35,621.8,35
"Schoolhouse rock America",2,19,18,34,973,26
"Eyewitness Planets",2,19,18,36,523.4,26
"Sid the science kid Feeling good inside and out",2,3,15,46,613.0432,43
"Drawing power Vol 6 Wizards castles dragons",2,19,18,35,743.8,26
Fish,2,28,17,27,597,18
"Chinese for kids Beginner level 1 volume 1",2,17,14,49,495.18342,29
"magic paintbrush a story from China",2,17,15,6,398.20951,29
"Mandarin Chinese 2 Wake up smiling",2,17,14,49,495.13421,29
"Mandarin Chinese 3 Playtime",2,17,14,49,495.13421,29
"Mandarin Chinese Disc 4 In my home",2,17,15,6,495.13421,29
"Mandarin Chinese Disc 5 Happy sad and silly",2,17,14,49,495.13421,29
"Test taking strategies math",2,27,17,17,510.71,19
"Sid the science kid Sids sense ational adventures",2,19,18,2,500,27
"Train crazy kids",2,25,19,42,625.2,21
Storms,2,25,19,42,551.55,21
"Rock n learn Life science",2,11,19,25,570,35
Electricity,2,4,19,53,537,41
"Lots lots of trucks Vol 1 Hard workin trucks",2,4,12,33,629.224,42
"Things with strings",2,26,12,41,787,20
"Lots lots of big trains Vol 1 Giant railroad action",2,27,11,9,625.2,19
"Baby signing time Volume 1",2,12,10,32,419,35
"Lots lots of trains Vol 3 Roaring down the rails",2,22,11,39,625.2,24
"All about trains for kids",2,27,11,9,625.1,19
"best of Mighty machines flying racing rolling",2,26,11,21,629.225,20
"Zoboomafoo Wild creatures furry fashion",2,17,16,18,590,29
"Meet the numbers",2,23,10,45,372.72,24
"Shalom Sesame Disc 1 Rehov Sumsum Disc 1",2,21,16,55,956.94,25
"Shalom sesame Volume 12 Adventures in Israel",2,21,16,55,956.94,25
"Shalom Sesame Volume 5 Mitzvah on the street",2,21,16,55,296.4424,25
"best of Mighty machines flying racing rolling",2,24,15,55,629.225,22
Flight,2,24,15,55,629.13,22
"Mandarin Chinese 3 Playtime",2,7,10,38,495.13421,40
"Lets go to school with Mei Mei",2,7,10,38,495.1824,40
"Abraham Lincoln sixteenth president",2,10,14,16,973.7092,36
"Sportscamp Soccer",2,7,11,42,796.3342,40
"Animal atlas Creepy creatures",2,27,15,27,590,19
"Animal atlas Family time",2,27,15,27,590,19
"Communities around the world around the corner",2,27,15,27,307,19
Matter,2,27,15,27,530,19
"All about solids liquids gases",2,27,15,27,530.414,19
"Edgar Degas",2,16,14,36,759.4,31
"Play learn Chinese with Mei Mei 7 Lets visit Dawei Village",2,16,11,51,495.1824,31
"Mandarin Chinese 2 Wake up smiling",2,16,11,51,495.13421,31
"Metal monsters",2,21,12,16,621.86,26
"Lots lots of jets and planes Vol 1 Thunder in the skies",2,16,12,25,629.13334,31
"School house rock Earth",2,26,14,15,333.72,21
"Eyewitness Ocean",2,23,17,33,551.461,23
"world of learning Volume 1",2,25,17,58,629.2222,21
"Schoolhouse rock Multiplication rock",2,26,14,15,513.213,21
"Math is everywhere",2,23,17,33,511.322,23
"science of Disney imagineering Levers and pulleys",2,25,13,9,621.8,22
"Raffi in concert",2,6,14,41,782.42083,41
"Time for manners Vol 1",2,5,15,11,395.5,42
"Mighty machines Boats to the rescue",2,27,15,37,621.865,20
Dog,2,26,16,23,599.77,20
"Swan lake",2,5,16,53,792.842,41
"Lets go to school with Mei Mei",2,23,17,10,495.1824,24
"magic school bus Bugs bugs bugs",2,11,18,9,595.7,35
"Teletubbies Go exercise with the Teletubbies",2,28,15,17,613.7042,19
Moses,2,25,14,56,222.1092,22
"world of learning Volume 1",2,19,15,48,629.2222,28
"Abraham Lincoln",2,9,16,32,973.7092,38
"Learn jazz step by step",2,14,13,8,793.3,33
"English ESL 5 Happy sad and silly",2,26,19,40,428.3461,20
"Cognitive beginnings",2,26,19,40,155.413,20
"Rock n learn Spanish Volumes I II",2,17,14,37,468.3421,30
"Living room magic Volume 1",2,7,18,23,793.8,40
"Signing time Volume 3 Everyday signs",2,27,10,47,419.7,20
Migration,2,28,14,8,591.568,19
"Fun damentals dance laugh learn about ABCs numbers colors shapes",2,16,18,0,372.465,31
"School house rock Money rock",2,22,17,48,332.024,25
"Zoboomafoo Wild creatures furry fashion",2,22,10,29,590,26
Mexico,2,22,10,29,972,26
"Introduction to robotics",2,20,17,11,629.892,27
"Abraham Lincoln",2,24,14,54,973.7092,23
"Eleanor Roosevelt",2,24,14,54,973.91709,23
"Humanoid robots",2,20,17,11,629.892,27
Money,2,20,13,43,332.4,28
"American Sign Language for kids Beginner level 1 volume 2",2,23,11,31,419.7,25
