title,month(cout),day(cout),hour(cout),minute(cout),deweyClass,"TIMESTAMPDIFF(DAY,cout,cin)"
"Read along stories on DVD",1,4,13,18,372.4,4
"Schoolhouse rock Science",1,2,11,23,500,6
"world of learning Volume 2",1,7,14,4,629.13334,1
"Why Guy questions a firefighter",1,5,11,20,628.925,3
"Spend a day with police officers",1,5,11,18,363.2,3
"Fire trucks in action",1,5,11,18,628.9259,3
"Police station",1,5,11,18,363.20973,3
Deserts,1,2,12,45,577.54,6
"Fish shellfish other underwater life",1,2,12,45,597,6
"Lots lots of jets and planes Vol 1 Thunder in the skies",1,3,14,18,629.13334,5
"Animal atlas Fun on the farm",1,2,11,45,630.68,6
"Harriet Tubman",1,2,11,56,973.7115,6
"Harriet Tubman Rosa Parks",1,2,11,56,323.1196,6
"Kideosyncrasy getting the world in shape one kid at a time Volume 1",1,7,18,43,613.7042,1
"Toucanz Trail obstacle adventure Vol 1",1,7,18,43,613.7042,1
"Kideosyncrasy getting the world in shape one kid at a time Volume 2",1,7,18,43,613.7042,1
"smart fitness workout brain based physical fitness routines",1,7,18,43,613.7042,1
"Up down all around movement fun for everyone",1,7,18,43,613.7042,1
Spanish,1,5,12,5,468.30832,4
"Signing time Series 2 volume 1 Nice to meet you",1,5,17,47,419.7,3
"Signing time Series 2 volume 3 Move and groove",1,5,17,46,419.7,3
"Between the lions Pecos Bill cleans up the West",1,2,15,47,372.465,6
"Baby signing time Volume 1",1,2,17,3,419,6
"Families of Guatemala",1,5,11,53,972.81,4
"Linnea in Monets garden",1,9,14,17,759.4,0
"Spanish Disc 6 I can count",1,2,17,33,468.3421,6
"Spanish Disc 4 In my home",1,2,17,33,468.3421,6
"Lots lots of fire songs safety tips",1,2,17,30,363.377,6
"magic paintbrush a story from China",1,7,18,7,398.20951,1
"magic gourd",1,7,18,7,398.20951,1
"way things work Electricity",1,6,14,2,537,3
"Fairy dancing",1,3,13,52,791.4372,6
"French for kids Beginner level 1 volume 2",1,9,15,32,448.2421,0
"Russian for babies toddlers and preschoolers Disc 1 Eating and drinking",1,3,17,53,491.78346,5
"Lots lots of jets and planes Vol 1 Thunder in the skies",1,3,16,8,629.13334,6
"Barack Obama the story of our 44th president",1,3,14,5,973.93209,6
"Living room magic Volume 1",1,7,17,21,793.8,2
"Living room magic Volume 2",1,7,17,21,793.8,2
"Jim Hensons the storyteller Greek myths",1,7,18,5,398.2,2
"Grand Canyon for kids",1,7,17,21,917.9132,2
"Mighty machines Roadways to runways",1,5,16,25,629.133,4
"Signing time Series 2 volume 6 Days of the week",1,4,11,6,419.7,5
"Signing time Volume 6 My favorite things",1,4,11,6,419.7,5
"Lon Po Po a Red Riding Hood story from China",1,9,15,4,398.20951,0
Amphibian,1,3,13,9,597.8,7
"elephant DVD with Eric Herman",1,8,17,18,782.42083,1
"Seven magic brothers a Chinese folktake",1,9,15,4,398.20951,1
"Predator and prey",1,3,17,6,591.53,6
"Rockin dance party",1,3,15,40,649.68,7
"Im a potty princess potty training for girls",1,3,15,40,649.62,7
"Professor Parrot speaks Spanish We are friends Somos amigos",1,7,13,6,468.2421,3
"Activity TV Magic Vol 2",1,3,17,53,793.8,7
"Hot potatoes the best of the Wiggles",1,8,12,37,782.42083,2
"Wiggles Racing to the rainbow",1,8,12,38,782.42083,2
"Predator and prey",1,4,12,27,591.53,6
"Get fit America for kids",1,9,18,15,613.7042,1
"Around the world",1,3,15,13,305.8,7
"magic school bus Holiday special",1,4,15,46,333.72,6
"Schoolhouse rock Multiplication rock",1,4,17,53,513.213,6
"Birds rodents",1,5,14,52,598,5
"Land sea air adventures",1,9,13,38,623.8245,2
"Sid the science kid Sid in motion",1,5,16,9,500,6
"Rock n learn Human body",1,6,13,34,612,5
"magic school bus Space adventures",1,6,13,34,523,5
Skeleton,1,6,13,34,573.76,5
"Kids can play keyboard",1,2,17,23,786.193,8
"Mary Cassatt",1,8,14,55,759.13,3
"Families of Mexico",1,8,14,55,972.0836,3
"British Isles",1,8,14,55,914.1,3
"Living room magic Volume 1",1,8,14,56,793.8,3
"world of learning Volume 2",1,9,15,43,629.13334,2
"Phonics 4 babies Babys first words",1,4,17,24,649.68,7
"Ellington was not a street",1,5,13,51,811.54,6
"Hey what about me",1,5,15,36,306.875,6
"Wiggles Its always Christmas with you",1,9,12,16,782.42083,3
"Meet the sight words 1",1,7,16,36,372.462,4
"science of Disney imagineering Designs and models",1,3,14,2,620.004,8
"Early start Mandarin Chinese Volume 1 Colors and animals",1,5,15,33,495.18342,6
"Early start Mandarin Chinese Volume 2 Numbers and fruits",1,5,15,33,495.18342,6
"magic school bus Super sports fun",1,7,15,37,530,4
"May I pet your dog the how to guide for kids meeting dogs and dogs meeting kids",1,7,15,37,636.70893,4
"I love airplanes",1,10,16,38,629.133,1
"All about the police",1,5,11,17,363.20973,7
"Amazing North America",1,5,16,51,591.97,6
"Wonders down under",1,5,16,52,591.994,6
"Revolutionary War heroes",1,5,15,57,973.2,6
"Im a potty pirate potty training for boys",1,2,16,52,649.62,9
